UserID,AMF,AttributeItemKNN,AttributeUserKNN,BPRMF,ConvMF,DeepFM,FunkSVD,ItemKNN,MF2020,MF,MostPop,MultiVAE,NeuMF,PMF,PureSVD,Random,Slim,UserKNN,VSM
1,0.14285714285714285,0.0,0.1111111111111111,0.16666666666666666,0.3333333333333333,0.2,0.0,0.0,0.0,0.1111111111111111,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.5
19,0.25,0.1111111111111111,0.2,0.0,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,1.0,0.2,0.125,0.5,0.16666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0
51,0.1,0.14285714285714285,0.125,0.0,0.25,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.1111111111111111,0.25,0.16666666666666666,0.14285714285714285,0.16666666666666666,0.1,0.0,0.2,0.0
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
86,0.3333333333333333,0.0,0.3333333333333333,0.5,0.3333333333333333,0.0,0.0,0.125,0.16666666666666666,0.0,0.14285714285714285,0.0,0.125,0.2,0.5,0.0,1.0,0.16666666666666666,0.5
99,0.25,0.0,0.1,0.0,0.5,0.0,0.0,0.0,0.16666666666666666,0.125,0.16666666666666666,0.0,0.0,0.0,0.25,0.1111111111111111,0.0,0.0,0.0
119,0.0,0.5,0.5,0.16666666666666666,0.25,0.2,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.2,0.14285714285714285,0.0,1.0,0.16666666666666666
153,0.1111111111111111,0.0,0.2,0.14285714285714285,0.3333333333333333,0.1111111111111111,0.0,0.0,0.16666666666666666,0.14285714285714285,0.125,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.25,0.5
194,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210,0.1111111111111111,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
